Metadataid,metadata_created,metadata_modified
75,2022-02-16T10:29:46.857160,2022-05-05T12:59:30.992008
76,2022-03-09T13:15:54.583611,2022-05-05T12:47:45.294662
77,2022-02-22T22:10:23.687571,2022-02-22T22:10:30.452802
78,2022-04-05T17:09:40.056848,2022-04-05T17:10:14.947006
79,2022-04-15T20:16:18.075709,2022-05-05T12:34:20.611319
80,2021-11-28T01:05:25.289868,2022-05-05T12:33:14.082931
81,2022-02-16T10:20:48.308561,2022-02-16T10:24:34.341278
82,2021-10-19T12:57:37.798782+00:00,2021-10-19T12:57:44.816916+00:00
83,2022-04-13T08:56:32.899848,2022-04-13T08:58:49.996924
85,2022-01-10T14:20:28.472926,2022-01-10T14:20:38.929975
86,2022-04-06T03:03:22.353650,2022-05-05T09:34:16.795259
87,2022-03-15T13:00:45.535107,2022-03-15T13:13:32.987313
88,2022-03-15T12:43:40.373015,2022-03-15T12:44:00.880245
89,2022-04-15T20:01:19.969167,2022-05-05T08:43:11.761774
90,2022-04-15T19:50:10.364839,2022-05-05T08:38:44.802800
91,2022-02-22T23:01:45.619240,2022-02-22T23:01:53.354361
93,2022-04-26T15:14:38.498909,2022-04-26T15:14:47.718818
94,2022-03-15T12:01:22.644524,2022-05-05T05:21:46.951429
95,2022-02-22T23:43:20.856556,2022-02-22T23:43:29.313763
96,2022-03-15T11:54:36.541345,2022-05-05T01:31:10.698109
97,2022-03-15T11:47:41.622163,2022-05-04T21:33:13.652069
98,2022-04-15T19:29:40.247949,2022-05-04T21:27:14.145873
99,2022-03-08T03:42:02.403633,2022-05-04T21:23:24.241509
100,2022-02-22T22:07:55.291982,2022-02-22T22:08:02.395109
101,2022-04-13T08:59:59.122887,2022-04-13T09:00:22.410820
102,2022-02-22T23:06:53.291902,2022-02-22T23:07:04.415276
103,2022-02-23T03:23:36.936959,2022-02-23T03:23:49.653018
104,2022-02-22T21:50:23.472550,2022-02-22T21:50:39.177692
105,2021-10-31T13:13:58.848274,2021-10-31T13:15:17.743864
106,2022-04-05T19:46:58.698023,2022-05-02T16:39:40.554215
107,2022-04-15T19:39:01.342880,2022-04-15T19:40:35.663187
108,2022-04-05T23:39:36.417834,2022-05-02T11:59:23.790821
109,2022-04-05T22:28:20.481004,2022-04-05T22:28:40.826020
110,2022-04-06T04:46:24.790471,2022-05-02T21:07:50.160189
111,2022-02-28T12:20:30.975591,2022-02-28T12:24:39.576026
112,2022-03-28T12:02:40.181074,2022-03-28T12:02:57.948549
113,2022-04-05T16:40:44.469354,2022-05-04T13:48:58.209750
114,2022-04-06T03:20:16.418814,2022-04-06T03:21:53.998297
115,2022-04-15T20:06:37.553623,2022-04-15T20:10:07.651495
116,2022-02-22T21:22:31.760396,2022-02-22T21:22:44.743329
117,2022-02-23T01:01:54.558880,2022-02-23T01:06:00.187484
118,2022-04-06T16:27:48.963713,2022-04-06T16:27:55.762830
131,2022-03-15T13:19:36.537598,2022-05-04T09:45:24.197585
132,2022-03-15T13:18:38.481808,2022-05-04T09:45:20.417040
133,2022-03-15T13:24:27.625018,2022-05-04T09:45:17.972117
134,2022-01-25T13:10:09.633475,2022-01-25T13:10:17.996882
135,2022-03-15T13:28:27.196467,2022-05-04T09:44:32.869587
136,2022-03-15T11:46:18.275506,2022-05-04T09:43:31.422965
137,2022-04-05T16:59:54.557595,2022-05-04T09:40:58.110908
138,2021-12-09T16:10:33.801251,2021-12-09T16:10:46.529148
139,2022-02-16T10:47:20.653179,2022-02-16T10:47:34.465225
140,2022-04-04T07:35:48.221866,2022-04-04T07:35:59.571036
141,2021-10-31T14:12:48.634107,2021-10-31T14:13:02.461155
142,2021-12-09T16:09:29.095248,2021-12-09T16:09:40.774129
143,2022-03-15T11:54:41.918186,2022-03-15T11:54:57.141869
144,2021-11-10T14:56:04.615083,2022-05-03T17:32:59.990170
145,2022-04-15T20:01:27.475303,2022-04-15T20:03:30.394752
147,2022-04-06T02:34:17.233024,2022-05-03T15:03:07.862620
148,2022-04-05T10:47:26.264315,2022-04-05T10:47:48.723175
149,2022-01-07T11:08:59.355808,2022-01-07T11:09:14.262829
150,2022-02-28T12:12:21.252975,2022-02-28T12:18:13.325705
151,2021-11-24T14:16:13.172540,2022-05-03T12:22:17.811998
152,2022-04-06T04:18:14.185774,2022-05-03T12:21:38.082037
153,2022-04-06T04:16:25.974558,2022-05-03T12:11:25.874294
154,2022-02-23T02:10:46.671255,2022-02-23T02:11:18.341919
155,2022-04-05T10:37:26.620915,2022-05-03T12:11:05.308979
156,2022-04-05T13:16:56.851285,2022-04-05T13:17:15.298638
157,2021-11-19T15:11:11.212147,2022-05-03T12:04:26.651320
158,2022-04-13T08:52:35.950218,2022-04-13T08:52:41.600499
159,2021-12-09T16:15:09.320320,2021-12-09T16:15:20.465244
160,2022-04-05T21:38:33.700917,2022-04-05T21:39:28.356574
161,2022-04-13T08:45:03.862377,2022-04-13T08:45:50.739177
162,2022-05-02T18:17:49.861098,2022-05-03T11:07:03.169698
163,2022-04-06T00:03:27.815497,2022-05-03T11:06:17.728871
164,2022-05-02T18:25:29.778479,2022-05-03T11:05:40.933873
165,2022-05-02T18:17:06.994151,2022-05-03T11:04:58.728237
166,2022-04-05T11:22:10.219416,2022-05-03T11:04:16.467944
167,2022-04-26T15:16:21.805301,2022-04-26T15:16:31.416905
168,2022-04-15T19:50:36.671578,2022-05-03T10:52:08.118552
169,2022-01-12T16:06:02.346183,2022-05-03T10:46:50.740370
170,2022-02-28T14:25:11.110019,2022-05-03T10:35:16.679009
171,2022-04-05T18:09:02.346237,2022-05-02T15:40:51.574761
172,2021-12-09T16:08:07.940279,2021-12-09T16:08:23.890717
173,2022-03-28T12:57:47.164482,2022-03-28T12:59:30.901805
174,2022-05-03T08:09:21.483569,2022-05-03T08:10:55.121132
175,2021-11-05T08:48:27.441084,2022-05-03T09:54:57.439118
176,2022-04-05T12:56:05.342421,2022-05-02T15:27:50.183994
178,2022-05-02T09:24:17.113227,2022-05-02T09:25:03.155622
179,2021-10-31T13:17:24.913270,2021-10-31T13:19:45.664853
180,2021-10-31T13:20:08.415376,2021-10-31T13:20:14.249042
181,2022-02-22T23:09:52.705115,2022-02-22T23:09:59.512542
182,2022-02-24T17:06:51.895001,2022-05-03T08:01:44.706599
183,2022-03-15T12:56:02.562333,2022-03-15T12:56:28.722286
184,2022-01-07T11:03:39.152911,2022-01-07T11:03:46.723479
185,2022-02-21T08:45:55.219011,2022-05-03T02:11:16.050580
188,2022-03-15T12:58:49.763232,2022-03-15T12:59:04.907784
189,2022-05-02T21:10:07.122635,2022-05-02T21:10:26.537033
190,2022-05-02T21:09:42.743467,2022-05-02T21:10:05.426780
191,2022-04-06T04:43:33.168091,2022-04-06T04:44:24.159534
192,2022-05-02T21:09:11.903743,2022-05-02T21:09:40.006845
193,2022-04-06T04:47:05.655934,2022-05-02T21:08:47.829616
194,2022-05-02T21:08:42.559965,2022-05-02T21:09:08.692870
195,2022-04-06T04:42:29.893444,2022-05-02T21:07:14.676034
196,2022-05-02T21:06:37.242863,2022-05-02T21:07:06.048931
197,2022-05-02T21:06:19.536355,2022-05-02T21:06:52.904964
198,2022-04-06T04:41:32.407987,2022-05-02T21:05:54.820356
199,2022-04-06T04:39:07.663196,2022-05-02T21:04:51.628724
200,2022-05-02T21:04:45.631666,2022-05-02T21:05:22.710233
201,2022-04-06T04:36:19.734643,2022-05-02T21:04:30.918271
202,2022-04-06T04:38:27.436140,2022-05-02T21:04:42.326889
203,2022-04-06T04:34:37.235208,2022-05-02T21:03:22.076467
204,2022-05-02T21:03:31.954893,2022-05-02T21:03:55.397787
205,2022-05-02T21:02:49.939650,2022-05-02T21:03:27.752928
206,2022-04-06T04:31:29.625132,2022-05-02T21:02:05.529537
207,2022-04-06T04:28:57.032563,2022-05-02T21:01:20.477920
208,2022-05-02T21:00:47.623121,2022-05-02T21:01:16.113222
209,2022-04-06T04:25:17.284899,2022-04-06T04:26:15.772368
210,2022-05-02T21:00:11.072569,2022-05-02T21:00:42.490513
211,2022-04-06T04:23:32.528749,2022-05-02T20:59:33.430070
212,2022-05-02T20:59:30.607353,2022-05-02T21:00:06.067957
213,2022-04-06T04:25:01.241788,2022-05-02T20:59:27.964687
214,2022-05-02T20:58:16.813506,2022-05-02T20:58:44.445292
215,2022-04-06T04:19:31.315774,2022-04-06T04:20:28.147559
216,2022-04-06T04:22:21.413026,2022-05-02T20:57:17.229210
217,2022-05-02T20:57:24.936809,2022-05-02T20:57:42.022412
218,2022-04-06T04:19:49.673521,2022-05-02T20:57:20.047643
219,2022-05-02T20:56:12.829325,2022-05-02T20:56:39.229704
220,2022-04-06T04:21:48.877855,2022-05-02T20:55:45.049001
221,2022-04-06T04:17:58.246782,2022-05-02T20:55:39.067381
222,2022-04-06T04:13:47.392780,2022-05-02T20:53:57.363900
223,2022-05-02T20:54:33.407606,2022-05-02T20:54:58.341338
224,2022-05-02T20:54:20.787979,2022-05-02T20:54:51.901210
225,2022-05-02T20:53:02.672538,2022-05-02T20:53:31.137628
226,2022-05-02T20:52:31.519401,2022-05-02T20:52:59.776757
227,2022-05-02T20:52:03.631877,2022-05-02T20:52:41.370998
228,2022-04-06T04:07:30.268250,2022-05-02T20:50:36.236579
229,2022-05-02T20:49:52.267826,2022-05-02T20:50:23.396313
230,2022-04-06T04:06:46.215612,2022-05-02T20:49:25.770410
231,2022-05-02T20:49:26.199881,2022-05-02T20:49:49.125796
232,2022-04-06T04:07:54.041821,2022-05-02T20:47:13.158253
233,2022-05-02T20:49:01.039382,2022-05-02T20:49:24.175565
234,2022-05-02T20:48:36.640831,2022-05-02T20:48:57.778460
235,2022-04-06T03:56:57.063820,2022-05-02T20:46:27.698198
236,2022-04-06T04:01:11.620290,2022-05-02T20:46:44.591015
237,2022-05-02T20:46:08.474762,2022-05-02T20:46:34.867918
238,2022-05-02T20:45:45.225851,2022-05-02T20:46:04.438992
239,2022-05-02T20:45:25.447021,2022-05-02T20:45:41.192667
240,2022-05-02T20:44:25.366031,2022-05-02T20:44:52.888559
241,2022-05-02T20:44:55.231205,2022-05-02T20:45:30.232721
242,2022-04-06T03:42:40.712930,2022-04-06T03:43:59.823644
243,2022-04-06T03:47:32.648248,2022-05-02T20:43:56.464351
244,2022-05-02T20:43:51.547117,2022-05-02T20:44:22.731713
245,2022-04-06T03:46:33.417102,2022-04-06T03:47:36.932463
246,2022-05-02T20:42:36.625017,2022-05-02T20:43:09.630819
247,2022-05-02T20:42:30.108557,2022-05-02T20:43:01.018405
248,2022-05-02T20:41:54.532089,2022-05-02T20:42:34.234094
249,2022-05-02T20:41:13.193968,2022-05-02T20:41:38.220715
250,2022-05-02T20:41:23.540278,2022-05-02T20:41:50.696709
251,2022-04-06T03:32:32.380062,2022-04-06T03:33:41.850383
252,2022-05-02T20:40:50.988967,2022-05-02T20:41:19.829203
253,2022-04-06T03:32:56.905902,2022-05-02T20:40:26.846206
254,2022-05-02T20:39:35.456396,2022-05-02T20:40:03.436101
255,2022-04-06T03:36:31.601140,2022-05-02T20:39:28.090536
256,2022-04-06T03:27:19.606886,2022-05-02T20:38:17.766975
257,2022-05-02T20:37:36.743262,2022-05-02T20:38:03.263744
258,2022-04-06T03:30:25.354055,2022-05-02T20:38:03.050026
259,2022-05-02T20:37:03.866468,2022-05-02T20:37:33.285283
260,2022-05-02T20:36:58.305827,2022-05-02T20:37:25.932053
261,2022-05-02T20:36:30.878970,2022-05-02T20:37:00.125596
262,2022-05-02T20:36:17.268962,2022-05-02T20:36:59.762891
263,2022-05-02T20:36:26.224342,2022-05-02T20:36:55.876968
264,2022-04-06T03:14:32.601612,2022-05-02T20:34:40.239557
265,2022-05-02T20:31:09.429290,2022-05-02T20:31:34.481880
266,2022-04-06T03:10:27.953880,2022-05-02T20:31:55.786171
267,2022-04-06T03:07:27.139793,2022-04-06T03:08:44.069248
268,2022-04-06T03:03:46.921546,2022-05-02T20:30:27.852614
269,2022-05-02T20:30:41.771787,2022-05-02T20:31:07.278061
270,2022-05-02T20:30:00.584924,2022-05-02T20:30:36.993875
271,2022-04-06T02:58:20.300992,2022-05-02T20:29:17.889177
272,2022-05-02T20:28:10.863594,2022-05-02T20:28:41.186681
273,2022-05-02T20:28:05.790887,2022-05-02T20:28:34.398600
274,2022-04-06T02:43:56.930321,2022-05-02T20:27:43.763849
275,2022-04-06T02:42:01.726625,2022-05-02T20:27:13.001225
276,2022-05-02T20:26:35.209672,2022-05-02T20:27:09.119171
277,2022-04-06T02:41:29.221329,2022-05-02T20:25:34.569356
278,2022-04-06T02:46:44.520626,2022-04-06T02:47:46.810238
279,2022-04-06T02:41:14.505638,2022-05-02T20:25:13.398927
280,2022-04-06T02:40:23.151711,2022-05-02T20:24:03.969691
281,2022-04-06T02:37:52.896228,2022-05-02T20:24:00.223010
282,2022-04-05T23:21:59.002590,2022-05-02T20:20:56.385714
283,2022-05-02T20:22:16.922417,2022-05-02T20:22:40.135697
284,2022-04-06T02:33:40.783213,2022-05-02T20:21:11.339189
285,2022-04-06T02:32:58.216856,2022-05-02T20:19:42.801996
286,2022-04-06T02:28:47.166215,2022-05-02T20:18:48.433858
287,2022-05-02T20:18:05.186589,2022-05-02T20:18:45.920709
288,2022-05-02T20:18:37.487494,2022-05-02T20:19:06.402882
289,2022-05-02T20:17:25.169702,2022-05-02T20:18:01.671196
290,2022-05-02T20:16:36.775512,2022-05-02T20:17:11.448489
291,2022-04-06T02:22:05.215467,2022-04-06T02:22:42.001160
292,2022-04-06T02:26:28.226181,2022-05-02T20:17:06.127841
293,2022-05-02T20:15:24.693649,2022-05-02T20:15:47.924146
294,2022-04-06T02:19:05.112761,2022-05-02T20:15:21.145528
295,2022-04-06T02:18:01.877891,2022-05-02T20:15:20.316839
296,2022-05-02T20:13:27.678929,2022-05-02T20:13:50.770237
297,2022-05-02T20:14:04.559151,2022-05-02T20:14:24.929613
298,2022-04-06T02:13:58.599692,2022-05-02T20:13:49.078082
299,2022-04-06T02:12:37.205659,2022-05-02T20:13:16.440973
300,2022-05-02T20:13:02.577684,2022-05-02T20:13:25.367504
301,2022-04-05T12:58:12.907542,2022-05-02T20:12:01.963469
302,2022-04-06T02:08:40.025369,2022-04-06T02:09:33.387533
303,2022-05-02T20:10:45.367569,2022-05-02T20:11:11.933023
304,2022-05-02T20:10:42.646605,2022-05-02T20:11:09.322437
305,2022-04-06T02:07:02.184738,2022-05-02T20:10:40.202187
306,2022-05-02T20:10:19.177786,2022-05-02T20:10:38.459602
307,2022-04-06T02:04:54.741981,2022-05-02T20:09:41.048589
308,2022-05-02T20:09:51.353663,2022-05-02T20:10:16.060907
309,2022-05-02T20:08:42.646312,2022-05-02T20:09:10.085135
310,2022-04-06T02:03:16.932182,2022-05-02T20:08:39.090811
311,2022-05-02T20:07:51.817414,2022-05-02T20:08:28.807294
312,2022-04-06T02:01:59.115419,2022-05-02T20:07:33.452380
313,2022-05-02T20:06:17.136549,2022-05-02T20:06:53.969187
314,2022-05-02T20:06:12.955088,2022-05-02T20:06:44.403538
315,2022-05-02T20:05:55.079115,2022-05-02T20:06:28.665890
316,2022-05-02T20:04:52.774020,2022-05-02T20:05:19.381822
317,2022-04-06T01:56:20.426301,2022-05-02T20:05:28.036123
318,2022-05-02T20:05:31.868798,2022-05-02T20:05:53.185211
319,2022-04-06T01:56:56.630043,2022-05-02T20:05:27.527785
320,2022-04-06T01:55:50.116452,2022-05-02T20:03:58.488528
321,2022-05-02T20:04:19.485663,2022-05-02T20:04:40.968663
322,2022-04-06T01:54:00.055149,2022-05-02T20:03:48.508710
323,2022-04-05T19:54:43.411068,2022-05-02T20:03:35.364712
324,2022-05-02T20:02:34.400889,2022-05-02T20:03:12.910869
325,2022-04-06T01:46:09.131113,2022-05-02T20:02:00.577030
326,2022-05-02T20:02:18.176588,2022-05-02T20:02:35.970567
327,2022-04-06T01:42:18.464915,2022-04-06T01:42:52.837696
328,2022-05-02T20:01:46.101403,2022-05-02T20:02:16.007002
329,2022-04-06T01:45:39.724068,2022-05-02T20:00:59.868181
330,2022-04-06T01:36:49.707811,2022-05-02T20:00:21.471696
331,2022-04-06T01:30:31.233335,2022-05-02T19:59:02.767156
332,2022-05-02T19:59:28.618531,2022-05-02T19:59:56.559556
333,2022-05-02T19:58:48.289574,2022-05-02T19:59:22.974058
334,2022-03-15T11:44:17.534308,2022-03-15T11:44:32.809577
335,2022-05-02T19:58:54.358450,2022-05-02T19:59:12.762087
336,2022-05-02T19:58:23.511943,2022-05-02T19:58:50.870431
337,2022-04-06T01:28:29.375347,2022-05-02T19:57:52.938806
338,2022-05-02T19:57:42.512970,2022-05-02T19:58:18.565438
339,2022-05-02T19:56:40.480858,2022-05-02T19:57:16.815381
340,2022-04-05T19:52:10.313129,2022-05-02T19:56:47.115858
341,2022-05-02T19:56:17.870357,2022-05-02T19:56:48.172394
342,2022-05-02T19:55:18.499068,2022-05-02T19:55:46.176969
343,2022-04-06T01:25:21.438464,2022-05-02T19:55:41.162632
344,2022-05-02T19:55:25.279750,2022-05-02T19:55:52.108925
345,2022-04-06T01:24:33.123481,2022-05-02T19:54:31.353993
346,2022-04-06T01:22:04.623583,2022-05-02T19:54:24.623697
347,2022-04-06T01:23:34.478579,2022-05-02T19:54:14.618231
348,2022-05-02T19:52:54.145048,2022-05-02T19:53:30.489408
349,2022-04-06T01:20:52.210263,2022-05-02T19:52:29.479720
350,2022-05-02T19:52:14.129843,2022-05-02T19:52:43.050341
351,2022-05-02T19:51:31.663283,2022-05-02T19:52:05.355944
352,2022-05-02T19:50:48.589183,2022-05-02T19:51:28.339703
353,2022-05-02T19:50:32.259452,2022-05-02T19:51:10.208921
354,2022-04-06T01:17:26.849101,2022-05-02T19:50:42.555726
355,2022-04-06T01:17:04.981601,2022-05-02T19:49:50.723327
356,2022-04-06T01:16:35.071334,2022-05-02T19:49:56.173929
357,2022-05-02T19:49:37.368158,2022-05-02T19:50:03.554058
358,2022-04-06T01:10:06.029796,2022-05-02T19:48:59.367057
359,2022-05-02T19:48:49.295773,2022-05-02T19:49:06.538784
360,2022-04-05T11:09:20.453351,2022-05-02T19:48:15.938083
361,2022-05-02T19:48:10.903637,2022-05-02T19:48:44.274974
362,2022-04-06T01:06:10.960335,2022-05-02T19:47:14.049305
363,2022-05-02T19:46:50.580334,2022-05-02T19:47:14.737885
364,2022-04-06T01:06:02.149993,2022-05-02T19:46:12.219970
365,2022-04-06T01:02:34.628103,2022-05-02T19:44:30.221974
366,2022-04-06T01:05:39.087700,2022-05-02T19:44:36.664570
367,2022-05-02T19:44:57.166309,2022-05-02T19:45:23.352466
368,2022-04-06T00:34:51.350499,2022-05-02T19:44:20.914249
369,2022-04-06T01:00:07.587874,2022-05-02T19:43:12.459875
370,2022-04-06T01:01:23.145167,2022-05-02T19:42:53.081746
371,2022-04-06T00:57:04.411654,2022-05-02T19:41:52.683623
372,2022-05-02T19:40:31.918721,2022-05-02T19:41:01.619810
373,2022-04-06T00:55:19.796067,2022-05-02T19:41:00.372566
374,2022-05-02T19:39:38.375997,2022-05-02T19:40:09.919143
375,2022-05-02T19:39:58.722534,2022-05-02T19:40:28.575947
376,2022-05-02T19:39:33.833119,2022-05-02T19:40:02.824708
377,2022-04-06T00:52:23.310962,2022-05-02T19:38:56.232529
378,2022-04-06T00:53:42.300187,2022-05-02T19:38:14.130646
379,2022-04-05T09:29:34.353722,2022-05-02T19:37:30.718243
380,2022-04-06T00:50:01.640981,2022-05-02T19:36:58.719003
381,2022-04-06T00:49:44.014792,2022-05-02T19:36:45.997825
382,2022-05-02T19:35:54.133472,2022-05-02T19:36:33.538845
383,2022-04-05T23:05:16.547306,2022-05-02T19:35:09.038020
384,2022-05-02T19:35:24.892327,2022-05-02T19:35:49.532079
385,2022-05-02T19:34:38.603455,2022-05-02T19:35:03.302959
386,2022-05-02T19:34:56.896257,2022-05-02T19:35:21.492377
387,2022-04-06T00:41:25.284119,2022-05-02T19:34:03.392801
388,2022-04-06T02:00:22.370985,2022-05-02T19:33:56.142485
389,2022-05-02T19:33:59.711524,2022-05-02T19:34:22.286590
390,2022-05-02T19:33:41.500092,2022-05-02T19:33:55.559518
391,2022-05-02T19:33:08.988956,2022-05-02T19:33:38.101288
392,2022-05-02T19:32:48.974449,2022-05-02T19:33:20.559288
393,2022-05-02T19:32:25.878610,2022-05-02T19:33:01.924996
394,2022-05-02T19:32:18.575530,2022-05-02T19:32:51.077484
395,2022-04-06T00:32:09.488259,2022-05-02T19:32:30.301352
397,2022-05-02T19:31:48.821439,2022-05-02T19:32:22.369944
398,2022-05-02T19:31:44.219452,2022-05-02T19:32:15.603551
400,2022-04-05T16:59:14.723534,2022-05-02T19:31:06.805401
401,2022-04-05T22:26:01.915455,2022-05-02T19:30:43.330952
403,2022-04-06T00:28:16.777802,2022-05-02T19:30:29.583199
407,2022-04-06T00:26:46.888333,2022-05-02T19:29:04.918814
408,2022-05-02T19:29:02.688338,2022-05-02T19:29:40.865429
409,2022-04-06T00:25:18.285911,2022-05-02T19:28:39.304823
412,2022-05-02T19:28:27.862024,2022-05-02T19:29:00.628912
414,2022-04-05T23:03:16.409558,2022-05-02T19:28:24.350862
415,2022-05-02T19:27:40.422972,2022-05-02T19:28:12.458096
417,2022-05-02T19:27:04.848128,2022-05-02T19:27:48.777615
418,2022-04-06T00:21:16.273850,2022-05-02T19:26:39.750239
420,2022-04-06T00:22:01.151053,2022-05-02T19:23:51.780208
421,2022-04-06T00:22:25.291861,2022-05-02T19:24:24.916618
423,2022-04-06T00:21:53.031843,2022-04-06T00:22:24.501412
424,2022-05-02T19:23:08.997990,2022-05-02T19:23:39.469519
426,2022-05-02T19:19:59.128472,2022-05-02T19:20:25.650292
427,2022-04-06T00:19:37.758216,2022-05-02T19:20:22.126000
431,2022-04-06T00:16:21.999470,2022-04-06T00:17:06.387697
432,2022-05-02T19:19:31.472840,2022-05-02T19:19:56.592017
433,2022-05-02T19:19:09.183449,2022-05-02T19:19:34.198198
434,2022-04-06T00:14:28.140802,2022-05-02T19:18:47.304809
435,2022-05-02T19:16:43.865638,2022-05-02T19:17:14.449454
436,2022-05-02T19:16:36.993358,2022-05-02T19:17:06.746304
437,2022-04-06T00:12:48.334046,2022-05-02T19:16:46.944827
439,2022-04-06T00:13:10.609340,2022-05-02T19:16:26.331737
440,2022-04-06T00:11:04.523552,2022-05-02T19:15:43.924250
443,2022-05-02T19:15:23.422377,2022-05-02T19:15:44.392101
444,2022-05-02T19:14:48.613553,2022-05-02T19:15:23.287474
446,2022-05-02T19:14:56.410163,2022-05-02T19:15:16.323517
447,2022-04-06T00:10:52.345879,2022-05-02T19:14:09.951159
448,2022-04-06T00:10:06.438860,2022-05-02T19:13:59.295784
449,2022-04-06T00:09:01.588470,2022-05-02T19:13:55.626258
